집계일자,콘존ID,차로유형구분코드,교통량
20120601,0010CZE010,1,31347
20120601,0010CZE011,1,31369
20120601,0010CZE020,1,21966
20120601,0010CZE030,1,31881
20120601,0010CZE040,1,41328
20120601,0010CZE050,1,33081
20120601,0010CZE060,1,30345
20120601,0010CZE080,1,23958
20120601,0010CZE100,1,6560
20120601,0010CZE110,1,26990
20120601,0010CZE120,1,41343
20120601,0010CZE130,1,50145
20120601,0010CZE140,1,65410
20120601,0010CZE150,1,70260
20120601,0010CZE160,1,53979
20120601,0010CZE170,1,55391
20120601,0010CZE180,1,49120
20120601,0010CZE190,1,41490
20120601,0010CZE200,1,38949
20120601,0010CZE210,1,17807
20120601,0010CZE215,1,17334
20120601,0010CZE220,1,16997
20120601,0010CZE230,1,17064
20120601,0010CZE240,1,17437
20120601,0010CZE250,1,18466
20120601,0010CZE260,1,17895
20120601,0010CZE270,1,23212
20120601,0010CZE280,1,35009
20120601,0010CZE290,1,37756
20120601,0010CZE300,1,37095
20120601,0010CZE310,1,54854
20120601,0010CZE320,1,56728
20120601,0010CZE330,1,52949
20120601,0010CZE340,1,33711
20120601,0010CZE350,1,38519
20120601,0010CZE360,1,38418
20120601,0010CZE370,1,74218
20120601,0010CZE380,1,93126
20120601,0010CZE385,1,91885
20120601,0010CZE390,1,81074
20120601,0010CZE400,1,83480
20120601,0010CZE410,1,97467
20120601,0010CZE410,2,8356
20120601,0010CZE420,1,78778
20120601,0010CZE420,2,7540
20120601,0010CZE430,1,-1
20120601,0010CZE430,2,-1
20120601,0010CZE440,1,92159
20120601,0010CZE440,2,8094
20120601,0010CZE450,1,87616
20120601,0010CZE450,2,11520
20120601,0010CZE460,1,85614
20120601,0010CZE460,2,8841
20120601,0010CZE470,1,-1
20120601,0010CZE470,2,-1
20120601,0010CZE480,1,65573
20120601,0010CZE480,2,7423
20120601,0010CZE500,1,85699
20120601,0010CZE500,2,8984
20120601,0010CZE510,1,-1
20120601,0010CZE510,2,-1
20120601,0010CZS010,1,-1
20120601,0010CZS011,1,-1
20120601,0010CZS020,1,-1
20120601,0010CZS030,1,33323
20120601,0010CZS040,1,39471
20120601,0010CZS050,1,33855
20120601,0010CZS060,1,31308
20120601,0010CZS080,1,23517
20120601,0010CZS100,1,5487
20120601,0010CZS110,1,25534
20120601,0010CZS120,1,40252
20120601,0010CZS130,1,49895
20120601,0010CZS140,1,70412
20120601,0010CZS150,1,74224
20120601,0010CZS160,1,55863
20120601,0010CZS170,1,62417
20120601,0010CZS180,1,53751
20120601,0010CZS190,1,45089
20120601,0010CZS200,1,40837
20120601,0010CZS210,1,18970
20120601,0010CZS215,1,18331
20120601,0010CZS220,1,18391
20120601,0010CZS230,1,18359
20120601,0010CZS240,1,18710
20120601,0010CZS250,1,19131
